dataset,model,classifier,accuracy,macro_f1,ps_precision,ps_recall,ps_f1,nps_precision,nps_recall,nps_f1,TN,FP,FN,TP,auc
RW_ACTUALS_UK,xlm-roberta-base,svm_linear,0.7803837953091685,0.7244311789429249,0.6925373134328359,0.5296803652968036,0.6002587322121604,0.8078358208955224,0.8937048503611971,0.8486036256736893,866,103,206,232,0.849168987470018
RW_ACTUALS_UK,xlm-roberta-base,svm_rbf,0.8742004264392325,0.8588496746399388,0.7584158415841584,0.8744292237442922,0.8123011664899258,0.9390243902439024,0.8740970072239422,0.9053981827899519,847,122,55,383,0.9302274622898907
RW_ACTUALS_UK,xlm-roberta-base,random_forest,0.7789623312011372,0.7690136904589089,0.5937961595273265,0.9178082191780822,0.7210762331838565,0.9506849315068493,0.7162022703818369,0.8169511477339612,694,275,36,402,0.8925091065024904
RW_ACTUALS_UK,xlm-roberta-base,xgboost,0.892679459843639,0.8753971237595106,0.8224719101123595,0.8356164383561644,0.8289920724801813,0.9251559251559252,0.9184726522187823,0.92180217503884,890,79,72,366,0.9340126100909001
RW_ACTUALS_UK,xlm-roberta-base,lightgbm,0.8898365316275764,0.8728703147215342,0.810989010989011,0.8424657534246576,0.826427771556551,0.9275210084033614,0.9112487100103199,0.9193128578865174,883,86,69,369,0.9386636413758006
RW_ACTUALS_English,bert-base-multilingual-uncased,svm_linear,0.7960618846694796,0.7421954708224139,0.7415384615384616,0.5391498881431768,0.6243523316062177,0.8122151321786691,0.9138461538461539,0.86003861003861,891,84,206,241,0.866785980611484
RW_ACTUALS_English,bert-base-multilingual-uncased,svm_rbf,0.8874824191279888,0.8724620783210197,0.7946611909650924,0.8657718120805369,0.8286937901498929,0.9358288770053476,0.8974358974358975,0.9162303664921465,875,100,60,387,0.9455515401824127
RW_ACTUALS_English,bert-base-multilingual-uncased,random_forest,0.7524613220815752,0.7449519706014833,0.5649794801641587,0.9239373601789709,0.7011884550084889,0.9507959479015919,0.6738461538461539,0.7887154861944777,657,318,34,413,0.9084426088452933
RW_ACTUALS_English,bert-base-multilingual-uncased,xgboost,0.8846694796061885,0.8665482504228879,0.8137472283813747,0.8210290827740492,0.8173719376391981,0.917610710607621,0.9138461538461539,0.9157245632065776,891,84,80,367,0.949004761085298
RW_ACTUALS_English,bert-base-multilingual-uncased,lightgbm,0.8874824191279888,0.8701135592949414,0.8153846153846154,0.8299776286353467,0.8226164079822617,0.921406411582213,0.9138461538461539,0.917610710607621,891,84,76,371,0.9427958469569209
RW_ACTUALS_Germany,bert-base-multilingual-uncased,svm_linear,0.8901050788091068,0.619631364535092,0.6257309941520468,0.1963302752293578,0.2988826815642458,0.9003866272458494,0.9840914740243599,0.9403800475059383,3959,64,438,107,0.8575555236290414
RW_ACTUALS_Germany,bert-base-multilingual-uncased,svm_rbf,0.9461471103327496,0.8754079602982949,0.7573149741824441,0.8073394495412844,0.7815275310834814,0.9736644093303235,0.964951528709918,0.9692883895131086,3882,141,105,440,0.9535054172453346
