dataset,embedding_model,classifier,accuracy,macro_f1,precision_ps,recall_ps,f1_ps,precision_nps,recall_nps,f1_nps,TP,TN,FP,FN,threshold
english,bert-base-multilingual-uncased,LightGBM,0.8586497890295358,0.8433044106577693,0.7320754716981132,0.8680089485458613,0.7942681678607983,0.9338565022421524,0.8543589743589743,0.8923406534547402,388,833,142,59,0.5
english,bert-base-multilingual-uncased,Random_Forest_Optimized,0.6526019690576652,0.6517580944524644,0.4740331491712707,0.959731543624161,0.6346153846153846,0.965183752417795,0.5117948717948718,0.6689008042895442,429,499,476,18,0.3500000000000001
english,bert-base-multilingual-uncased,Random_Forest,0.7693389592123769,0.7591846428682067,0.5871156661786238,0.8970917225950783,0.7097345132743362,0.9377537212449256,0.7107692307692308,0.8086347724620772,401,693,282,46,0.5
english,bert-base-multilingual-uncased,Voting_Ensemble,0.8572433192686357,0.8422040896202667,0.7276119402985075,0.87248322147651,0.7934893184130214,0.9356659142212189,0.8502564102564103,0.8909188608275121,390,829,146,57,0.5
netherlands,bert-base-multilingual-uncased,SVM,0.8056426332288401,0.7844618083935442,0.6460905349794238,0.8051282051282052,0.7168949771689499,0.9037974683544304,0.8058690744920993,0.8520286396181384,157,357,86,38,0.5
netherlands,bert-base-multilingual-uncased,XGBoost_Optimized,0.8009404388714734,0.783932395207505,0.6287878787878788,0.8512820512820513,0.7233115468409586,0.9224598930481284,0.7787810383747178,0.8445532435740514,166,345,98,29,0.5
netherlands,bert-base-multilingual-uncased,XGBoost,0.8009404388714734,0.783932395207505,0.6287878787878788,0.8512820512820513,0.7233115468409586,0.9224598930481284,0.7787810383747178,0.8445532435740514,166,345,98,29,0.5
netherlands,bert-base-multilingual-uncased,LightGBM_Optimized,0.8087774294670846,0.7922400999348715,0.6387832699619772,0.8615384615384616,0.7336244541484717,0.928,0.7855530474040632,0.8508557457212714,168,348,95,27,0.5
netherlands,bert-base-multilingual-uncased,LightGBM,0.8087774294670846,0.7922400999348715,0.6387832699619772,0.8615384615384616,0.7336244541484717,0.928,0.7855530474040632,0.8508557457212714,168,348,95,27,0.5
netherlands,bert-base-multilingual-uncased,Random_Forest_Optimized,0.6269592476489029,0.6262393541082065,0.44819277108433736,0.9538461538461539,0.6098360655737706,0.9596412556053812,0.48306997742663654,0.6426426426426426,186,214,229,9,0.5000000000000001
netherlands,bert-base-multilingual-uncased,Random_Forest,0.6269592476489029,0.6262393541082065,0.44819277108433736,0.9538461538461539,0.6098360655737706,0.9596412556053812,0.48306997742663654,0.6426426426426426,186,214,229,9,0.5
netherlands,bert-base-multilingual-uncased,Voting_Ensemble,0.7946708463949843,0.7791763434553203,0.6167883211678832,0.8666666666666667,0.720682302771855,0.9285714285714286,0.7629796839729119,0.8376703841387856,169,338,105,26,0.5
uk,xlm-roberta-base,SVM,0.7796730632551528,0.7568577302484882,0.6189591078066915,0.7602739726027398,0.6823770491803279,0.8791714614499425,0.7884416924664602,0.8313384113166485,333,764,205,105,0.5
uk,xlm-roberta-base,XGBoost_Optimized,0.8528784648187633,0.8372504195181703,0.7166979362101313,0.8721461187214612,0.7868177136972194,0.9359267734553776,0.8441692466460269,0.887683125339121,382,818,151,56,0.5
uk,xlm-roberta-base,XGBoost,0.8528784648187633,0.8372504195181703,0.7166979362101313,0.8721461187214612,0.7868177136972194,0.9359267734553776,0.8441692466460269,0.887683125339121,382,818,151,56,0.5
uk,xlm-roberta-base,LightGBM_Optimized,0.8528784648187633,0.8378766076711764,0.7134935304990758,0.8812785388127854,0.7885597548518897,0.9399538106235565,0.8400412796697626,0.8871934604904632,386,814,155,52,0.5
uk,xlm-roberta-base,LightGBM,0.8528784648187633,0.8378766076711764,0.7134935304990758,0.8812785388127854,0.7885597548518897,0.9399538106235565,0.8400412796697626,0.8871934604904632,386,814,155,52,0.5
uk,xlm-roberta-base,Random_Forest_Optimized,0.6311300639658849,0.6306255358646802,0.4558342420937841,0.954337899543379,0.6169741697416975,0.9591836734693877,0.4850361197110423,0.6442769019876627,418,470,499,20,0.30000000000000004
uk,xlm-roberta-base,Random_Forest,0.7690120824449183,0.7583155262091095,0.5839524517087668,0.8972602739726028,0.7074707470747076,0.9386920980926431,0.7110423116615067,0.8091603053435115,393,689,280,45,0.5
uk,xlm-roberta-base,Voting_Ensemble,0.8528784648187633,0.8377215978390292,0.7142857142857143,0.8789954337899544,0.788126919140225,0.9389400921658986,0.8410732714138287,0.8873162765378334,385,815,154,53,0.5
germany,xlm-roberta-base,SVM,0.8178633975481612,0.6872551084895724,0.3660130718954248,0.7192660550458716,0.4851485148514851,0.9562482127537889,0.8312204822271937,0.8893617021276596,392,3344,679,153,0.5
germany,xlm-roberta-base,XGBoost_Optimized,0.9183450087565674,0.832415330775496,0.6143617021276596,0.8477064220183487,0.7124132613723979,0.9782494758909853,0.927914491672881,0.9524174001785942,462,3733,290,83,0.5
germany,xlm-roberta-base,XGBoost,0.9183450087565674,0.832415330775496,0.6143617021276596,0.8477064220183487,0.7124132613723979,0.9782494758909853,0.927914491672881,0.9524174001785942,462,3733,290,83,0.5
germany,xlm-roberta-base,LightGBM_Optimized,0.9008318739054291,0.8063200763973302,0.5552884615384616,0.8477064220183487,0.6710239651416122,0.9777837259100642,0.9080288342033308,0.9416161876530481,462,3653,370,83,0.5
germany,xlm-roberta-base,LightGBM,0.9008318739054291,0.8063200763973302,0.5552884615384616,0.8477064220183487,0.6710239651416122,0.9777837259100642,0.9080288342033308,0.9416161876530481,462,3653,370,83,0.5
germany,xlm-roberta-base,Random_Forest_Optimized,0.5242994746059545,0.4782563629506693,0.1946736684171043,0.9522935779816514,0.3232637807536593,0.9863301787592008,0.46631866766094954,0.6332489451476794,519,1876,2147,26,0.30000000000000004
germany,xlm-roberta-base,Random_Forest,0.7357705779334501,0.6372041833561298,0.2984165651644336,0.8990825688073395,0.4481024234110654,0.981203007518797,0.7136465324384788,0.8263059433011943,490,2871,1152,55,0.5
germany,xlm-roberta-base,Voting_Ensemble,0.8992994746059545,0.8064358281637124,0.5494761350407451,0.8660550458715597,0.6723646723646725,0.9803181450525749,0.9038031319910514,0.9405069839627523,472,3636,387,73,0.5
