dataset,model,TN,FP,FN,TP,total,accuracy,precision_ps,recall_ps,f1_ps,precision_nps,recall_nps,f1_nps,macro_precision,macro_recall,macro_f1,fpr,fnr,confusion_matrix,train_time_seconds,embeddings_path,plot_path
german,bert-base-cased,3102,921,163,382,4568,0.7626970227670753,0.29316960859554875,0.7009174311926606,0.41341991341991347,0.9500765696784074,0.7710663683818046,0.8512623490669593,0.6216230891369781,0.7359918997872326,0.6323411312434364,0.22893363161819538,0.29908256880733947,"[[3102  921]
 [ 163  382]]",5.85231614112854,/Users/shariarimrozekhan/Documents/GitHub/masterThesis2026/Datasets/Embeddings/_iteration_1/bert-base-cased/german_bert-base-cased_embeddings.pkl,/Users/shariarimrozekhan/Documents/GitHub/masterThesis2026/Results/_iteration_1/cm_german_bert_base_cased.png
uk,bert-base-cased,759,210,94,344,1407,0.7839374555792467,0.6209386281588448,0.7853881278538812,0.6935483870967742,0.8898007033997656,0.7832817337461301,0.8331503841931944,0.7553696657793052,0.7843349308000056,0.7633493856449843,0.21671826625386997,0.2146118721461187,"[[759 210]
 [ 94 344]]",1.115105152130127,/Users/shariarimrozekhan/Documents/GitHub/masterThesis2026/Datasets/Embeddings/_iteration_1/bert-base-cased/uk_bert-base-cased_embeddings.pkl,/Users/shariarimrozekhan/Documents/GitHub/masterThesis2026/Results/_iteration_1/cm_uk_bert_base_cased.png
english,bert-base-cased,777,198,110,337,1422,0.7834036568213784,0.6299065420560748,0.7539149888143176,0.6863543788187373,0.8759864712514093,0.796923076923077,0.8345864661654135,0.752946506653742,0.7754190328686973,0.7604704224920754,0.20307692307692307,0.24608501118568232,"[[777 198]
 [110 337]]",1.0716228485107422,/Users/shariarimrozekhan/Documents/GitHub/masterThesis2026/Datasets/Embeddings/_iteration_1/bert-base-cased/english_bert-base-cased_embeddings.pkl,/Users/shariarimrozekhan/Documents/GitHub/masterThesis2026/Results/_iteration_1/cm_english_bert_base_cased.png
sweden,bert-base-cased,3038,809,78,196,4121,0.7847609803445765,0.19502487562189055,0.7153284671532847,0.3064894448788116,0.9749679075738126,0.7897062646217832,0.8726123797213844,0.5849963915978516,0.7525173658875339,0.5895509123000979,0.2102937353782168,0.2846715328467153,"[[3038  809]
 [  78  196]]",5.3895041942596436,/Users/shariarimrozekhan/Documents/GitHub/masterThesis2026/Datasets/Embeddings/_iteration_1/bert-base-cased/sweden_bert-base-cased_embeddings.pkl,/Users/shariarimrozekhan/Documents/GitHub/masterThesis2026/Results/_iteration_1/cm_sweden_bert_base_cased.png
netherlands,bert-base-cased,325,118,55,140,638,0.7288401253918495,0.5426356589147286,0.717948717948718,0.6181015452538631,0.8552631578947368,0.7336343115124153,0.7897934386391252,0.6989494084047327,0.7257915147305667,0.7039474919464941,0.26636568848758463,0.28205128205128205,"[[325 118]
 [ 55 140]]",0.4357600212097168,/Users/shariarimrozekhan/Documents/GitHub/masterThesis2026/Datasets/Embeddings/_iteration_1/bert-base-cased/netherlands_bert-base-cased_embeddings.pkl,/Users/shariarimrozekhan/Documents/GitHub/masterThesis2026/Results/_iteration_1/cm_netherlands_bert_base_cased.png
master_df_1,bert-base-cased,7204,2272,409,1084,10969,0.7555839183152521,0.3230035756853397,0.7260549229738781,0.44710249535986807,0.9462761066596611,0.7602363866610384,0.8431154543858623,0.6346398411725004,0.7431456548174582,0.6451089748728652,0.2397636133389616,0.2739450770261219,"[[7204 2272]
 [ 409 1084]]",14.939327001571655,/Users/shariarimrozekhan/Documents/GitHub/masterThesis2026/Datasets/Embeddings/_iteration_1/bert-base-cased/master_df_1_bert-base-cased_embeddings.pkl,/Users/shariarimrozekhan/Documents/GitHub/masterThesis2026/Results/_iteration_1/cm_master_df_1_bert_base_cased.png
