dataset,model,classifier,accuracy,f1_ps,f1_nps,macro_f1,precision_ps,recall_ps,precision_nps,recall_nps,TN,FP,FN,TP,fpr,fnr,roc_auc,training_time
english,intfloat/multilingual-e5-large-instruct,SVM,0.8255977496483825,0.7339055793991416,0.8702928870292886,0.8020992332142152,0.7051546391752578,0.7651006711409396,0.887940234791889,0.8533333333333334,832,143,105,342,0.14666666666666667,0.2348993288590604,0.8850043021855104,6.891864061355591
english,intfloat/multilingual-e5-large-instruct,Random_Forest,0.90014064697609,0.8289156626506023,0.929493545183714,0.8792046039171582,0.8981723237597912,0.7695749440715883,0.9008662175168431,0.96,936,39,103,344,0.04,0.23042505592841164,0.9517099753341364,4.408731937408447
english,intfloat/multilingual-e5-large-instruct,XGBoost,0.909985935302391,0.8501170960187353,0.9356783919597991,0.8928977439892671,0.8918918918918919,0.8120805369127517,0.9172413793103448,0.9548717948717949,931,44,84,363,0.04512820512820513,0.18791946308724833,0.9531165031836173,8.960693836212158
english,intfloat/multilingual-e5-large-instruct,LightGBM,0.909985935302391,0.8515081206496519,0.9354187689202825,0.8934634447849672,0.8843373493975903,0.8210290827740492,0.9205561072492552,0.9507692307692308,927,48,80,367,0.04923076923076923,0.1789709172259508,0.9517581598118511,4.4632391929626465
netherlands,intfloat/multilingual-e5-large-instruct,SVM,0.8605015673981191,0.7791563275434242,0.8980526918671249,0.8386045097052746,0.7548076923076923,0.8051282051282052,0.9116279069767442,0.8848758465011287,392,51,38,157,0.11512415349887133,0.19487179487179487,0.892562366151531,20.734019994735718
netherlands,intfloat/multilingual-e5-large-instruct,Random_Forest,0.8636363636363636,0.7667560321715817,0.9036544850498339,0.8352052586107078,0.8033707865168539,0.7333333333333333,0.8869565217391304,0.9209932279909706,408,35,52,143,0.07900677200902935,0.26666666666666666,0.9277073566012618,2.0049848556518555
netherlands,intfloat/multilingual-e5-large-instruct,XGBoost,0.8761755485893417,0.8029925187032417,0.9097142857142856,0.8563534022087637,0.7815533980582524,0.8256410256410256,0.9212962962962963,0.8984198645598194,398,45,34,161,0.10158013544018059,0.17435897435897435,0.9361926260346125,6.614221096038818
netherlands,intfloat/multilingual-e5-large-instruct,LightGBM,0.8808777429467085,0.8118811881188119,0.9128440366972478,0.8623626124080299,0.784688995215311,0.841025641025641,0.9277389277389277,0.8984198645598194,398,45,31,164,0.10158013544018059,0.15897435897435896,0.9241882271227644,3.3020129203796387
germany,intfloat/multilingual-e5-large-instruct,SVM,0.8338441330998249,0.5112685125563426,0.899907688250033,0.7055881004031879,0.39384920634920634,0.728440366972477,0.9584269662921349,0.8481232910763112,3412,611,148,397,0.1518767089236888,0.27155963302752295,0.8743215045597903,19.528594970703125
germany,intfloat/multilingual-e5-large-instruct,Random_Forest,0.9603765323992994,0.8241010689990282,0.9776736153941038,0.900887342196566,0.8760330578512396,0.7779816513761468,0.9703721841332027,0.9850857568978374,3963,60,121,424,0.014914243102162566,0.22201834862385322,0.9622466688103041,21.161896228790283
germany,intfloat/multilingual-e5-large-instruct,XGBoost,0.957092819614711,0.8175046554934823,0.975688414785413,0.8965965351394476,0.8298676748582231,0.8055045871559633,0.9737558801683585,0.9776286353467561,3933,90,106,439,0.02237136465324385,0.1944954128440367,0.953726850426561,14.183793067932129
germany,intfloat/multilingual-e5-large-instruct,LightGBM,0.957092819614711,0.8157894736842105,0.9757185332011892,0.8957540034426998,0.8362235067437379,0.7963302752293578,0.972585823660163,0.978871488938603,3938,85,111,434,0.021128511061396966,0.2036697247706422,0.9444339543040363,7.568333148956299
uk,intfloat/multilingual-e5-large-instruct,SVM,0.8272921108742004,0.7367280606717226,0.8714965626652565,0.8041123116684896,0.7010309278350515,0.776255707762557,0.8937093275488069,0.8503611971104231,824,145,98,340,0.14963880288957687,0.2237442922374429,0.8834838910329814,7.34067702293396
uk,intfloat/multilingual-e5-large-instruct,Random_Forest,0.9012082444918266,0.8370457209847597,0.9291177970423253,0.8830817590135425,0.8602409638554217,0.815068493150685,0.9183467741935484,0.9401444788441693,911,58,81,357,0.05985552115583075,0.18493150684931506,0.9385222726437367,4.369270086288452
uk,intfloat/multilingual-e5-large-instruct,XGBoost,0.9076048329779673,0.8502304147465439,0.933196300102775,0.8917133574246594,0.858139534883721,0.8424657534246576,0.9293756397134084,0.9370485036119711,908,61,69,369,0.0629514963880289,0.15753424657534246,0.9463352512357982,9.303670644760132
uk,intfloat/multilingual-e5-large-instruct,LightGBM,0.9033404406538735,0.8407494145199063,0.9306122448979591,0.8856808297089327,0.8629807692307693,0.819634703196347,0.9202825428859738,0.9411764705882353,912,57,79,359,0.058823529411764705,0.18036529680365296,0.9417596166079986,4.831855058670044
sweden,intfloat/multilingual-e5-large-instruct,SVM,0.8573161853918951,0.3900414937759336,0.9192085737840066,0.6546250337799701,0.27246376811594203,0.6861313868613139,0.9749344214514719,0.8695087080842214,3345,502,86,188,0.13049129191577852,0.31386861313868614,0.864596358144274,21.504929065704346
